CSID,CaseMasterID,csdate,cstype,PolicePersonID
86,130,2025-09-15 10:00:00,A,1002
87,131,2026-06-18 10:00:00,A,1002
88,133,2022-11-22 10:00:00,A,1002
89,135,2023-08-15 10:00:00,A,1002
90,136,2023-04-19 10:00:00,A,1002
91,137,2024-02-08 10:00:00,A,1002
92,138,2025-01-16 10:00:00,A,1002
93,139,2025-01-31 10:00:00,A,1002
94,140,2025-02-22 10:00:00,A,1002
95,141,2025-12-01 10:00:00,A,1002
96,142,2025-07-11 10:00:00,A,1002
97,143,2026-01-04 10:00:00,A,1002
98,146,2022-10-03 10:00:00,A,1002
99,150,2023-11-09 10:00:00,A,1002
100,151,2023-06-19 10:00:00,A,1002
101,154,2025-02-27 10:00:00,A,1002
102,155,2025-01-01 10:00:00,A,1002
103,156,2026-03-18 10:00:00,A,1002
104,157,2026-02-17 10:00:00,A,1002
105,158,2025-05-05 10:00:00,A,1002
106,159,2026-04-16 10:00:00,A,1002
107,162,2026-05-18 10:00:00,A,1002
108,163,2022-12-21 10:00:00,A,1003
109,167,2023-10-24 10:00:00,A,1003
110,168,2024-02-05 10:00:00,A,1003
111,176,2026-08-15 10:00:00,A,1003
112,177,2026-03-18 10:00:00,A,1003
113,178,2026-11-25 10:00:00,A,1003
114,180,2022-05-18 10:00:00,A,1003
115,183,2023-04-28 10:00:00,A,1003
116,185,2024-09-29 10:00:00,A,1003
117,187,2025-08-03 10:00:00,A,1003
118,189,2026-09-09 10:00:00,A,1003
119,190,2027-02-08 10:00:00,A,1003
120,191,2022-03-23 10:00:00,A,1003
121,192,2022-09-01 10:00:00,A,1003
122,198,2024-08-06 10:00:00,A,1003
123,201,2025-12-12 10:00:00,A,1003
124,204,2025-10-07 10:00:00,A,1003
125,205,2026-03-12 10:00:00,A,1003
126,206,2026-03-15 10:00:00,A,1003
127,209,2022-12-16 10:00:00,A,1003
128,211,2022-12-23 10:00:00,A,1003
129,212,2023-02-05 10:00:00,A,1003
130,213,2023-08-26 10:00:00,A,1003
131,214,2024-01-19 10:00:00,A,1003
132,215,2024-03-24 10:00:00,A,1003
133,216,2024-11-11 10:00:00,A,1003
134,218,2025-01-28 10:00:00,A,1003
135,219,2025-05-27 10:00:00,A,1003
136,221,2026-07-12 10:00:00,A,1003
137,222,2026-12-24 10:00:00,A,1003
138,223,2023-01-29 10:00:00,A,1004
139,224,2022-09-05 10:00:00,A,1004
140,226,2023-07-16 10:00:00,A,1004
141,227,2024-05-25 10:00:00,A,1004
142,231,2026-09-26 10:00:00,A,1004
143,234,2023-01-06 10:00:00,A,1004
144,236,2023-08-30 10:00:00,A,1004
145,239,2025-05-02 10:00:00,A,1004
146,240,2025-12-14 10:00:00,A,1004
147,241,2025-03-26 10:00:00,A,1004
148,244,2022-12-15 10:00:00,A,1004
149,245,2022-05-26 10:00:00,A,1004
150,249,2023-09-12 10:00:00,A,1004
151,250,2024-05-04 10:00:00,A,1004
152,253,2025-11-15 10:00:00,A,1004
153,254,2026-08-19 10:00:00,A,1004
154,260,2024-06-10 10:00:00,A,1004
155,263,2025-10-25 10:00:00,A,1004
156,264,2027-03-23 10:00:00,A,1004
157,266,2022-08-06 10:00:00,A,1005
158,267,2022-05-11 10:00:00,A,1005
159,269,2024-01-03 10:00:00,A,1005
160,270,2023-03-20 10:00:00,A,1005
161,272,2024-09-19 10:00:00,A,1005
162,273,2025-02-08 10:00:00,A,1005
163,274,2025-05-05 10:00:00,A,1005
164,275,2026-03-03 10:00:00,A,1005
165,277,2026-12-18 10:00:00,A,1005
166,278,2026-05-18 10:00:00,A,1005
167,281,2023-07-13 10:00:00,A,1005
168,282,2024-01-17 10:00:00,A,1005
169,283,2024-09-11 10:00:00,A,1005
170,284,2024-07-29 10:00:00,A,1005
171,285,2025-04-07 10:00:00,A,1005
172,287,2025-07-09 10:00:00,A,1005
173,288,2026-05-23 10:00:00,A,1005
174,289,2026-04-12 10:00:00,A,1005
175,290,2023-01-20 10:00:00,A,1005
176,291,2023-06-03 10:00:00,A,1005
177,292,2023-05-19 10:00:00,A,1005
178,293,2024-11-17 10:00:00,A,1005
179,294,2025-02-11 10:00:00,A,1005
180,298,2026-04-14 10:00:00,A,1005
181,300,2024-02-04 10:00:00,A,1005
182,301,2023-08-27 10:00:00,A,1005
183,302,2024-02-29 10:00:00,A,1005
184,304,2024-10-16 10:00:00,A,1005
185,305,2025-06-24 10:00:00,A,1005
186,308,2026-10-12 10:00:00,A,1005
187,309,2026-02-15 10:00:00,A,1005
188,310,2023-01-04 10:00:00,A,1006
189,311,2022-09-24 10:00:00,A,1006
190,312,2023-11-07 10:00:00,A,1006
191,313,2024-09-20 10:00:00,A,1006
192,315,2025-12-25 10:00:00,A,1006
193,318,2023-07-14 10:00:00,A,1006
194,321,2024-12-04 10:00:00,A,1006
195,323,2026-05-29 10:00:00,A,1006
196,324,2026-09-21 10:00:00,A,1006
197,325,2023-01-09 10:00:00,A,1006
198,328,2023-07-16 10:00:00,A,1006
199,329,2024-09-04 10:00:00,A,1006
200,330,2026-04-18 10:00:00,A,1006
201,332,2026-06-22 10:00:00,A,1006
202,333,2026-12-02 10:00:00,A,1006
203,334,2023-01-16 10:00:00,A,1006
204,335,2022-04-12 10:00:00,A,1006
205,337,2024-01-13 10:00:00,A,1006
206,338,2023-12-02 10:00:00,A,1006
207,339,2024-12-24 10:00:00,A,1006
208,340,2024-04-28 10:00:00,A,1006
209,345,2022-07-25 10:00:00,A,1007
210,349,2024-04-11 10:00:00,A,1007
211,352,2025-09-26 10:00:00,A,1007
212,360,2025-03-21 10:00:00,A,1007
213,364,2025-09-03 10:00:00,A,1007
214,365,2027-01-12 10:00:00,A,1007
215,366,2026-06-19 10:00:00,A,1007
216,372,2024-12-19 10:00:00,A,1007
217,387,2022-12-07 10:00:00,A,1008
218,388,2023-12-09 10:00:00,A,1008
219,389,2024-09-14 10:00:00,A,1008
220,390,2025-08-30 10:00:00,A,1008
221,391,2027-01-05 10:00:00,A,1008
222,392,2022-07-23 10:00:00,A,1008
223,393,2023-11-30 10:00:00,A,1008
224,395,2026-02-17 10:00:00,A,1008
225,396,2027-04-23 10:00:00,A,1008
226,398,2023-03-03 10:00:00,A,1008
227,399,2024-05-22 10:00:00,A,1008
228,400,2025-09-14 10:00:00,A,1008
229,402,2022-10-14 10:00:00,A,1008
230,403,2024-01-23 10:00:00,A,1008
231,404,2024-12-30 10:00:00,A,1008
232,405,2026-04-05 10:00:00,A,1008
233,406,2026-11-05 10:00:00,A,1008
