CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
114,IPC,34,1,2
115,IPC,411,1,1
116,IPC,420,1,1
117,IPC,379,1,1
118,IPC,379,1,1
119,IPC,467,1,1
119,IPC,471,1,2
120,IPC,454,1,1
121,IPC,380,1,1
122,IPC,379,1,1
123,IPC,379,1,1
124,IPC,379,1,1
125,IPC,379,1,1
126,IPC,420,1,1
127,IPC,420,1,1
128,IPC,379,1,1
129,IPC,420,1,1
129,IPC,471,1,2
129,IPC,120B,1,3
130,ITACT,66D,1,1
130,IPC,471,1,2
131,IPC,457,1,1
132,IPC,379,1,1
132,IPC,411,1,2
133,IPC,379,1,1
134,IPC,323,1,1
134,IPC,34,1,2
135,IPC,379,1,1
136,IPC,420,1,1
136,IPC,471,1,2
136,IPC,120B,1,3
137,IPC,323,1,1
138,IPC,379,1,1
139,IPC,454,1,1
140,IPC,420,1,1
140,IPC,471,1,2
141,IPC,379,1,1
141,IPC,34,1,2
142,IPC,384,1,1
143,IPC,420,1,1
143,IPC,468,1,2
144,IPC,380,1,1
145,IPC,420,1,1
145,ITACT,66C,1,2
146,IPC,379,1,1
147,IPC,379,1,1
148,IPC,454,1,1
148,IPC,411,1,2
149,IPC,420,1,1
150,IPC,379,1,1
151,IPC,379,1,1
152,IPC,354,1,1
152,IPC,506,1,2
153,IPC,323,1,1
154,IPC,380,1,1
154,IPC,411,1,2
155,IPC,324,1,1
156,IPC,420,1,1
157,IPC,420,1,1
157,IPC,471,1,2
158,IPC,379,1,1
158,IPC,34,1,2
159,IPC,420,1,1
159,IPC,471,1,2
160,IPC,323,1,1
161,IPC,379,1,1
162,IPC,379,1,1
163,IPC,379,1,1
163,IPC,34,1,2
164,IPC,406,1,1
165,IPC,420,1,1
166,IPC,420,1,1
167,IPC,354,1,1
167,IPC,34,1,2
168,IPC,323,1,1
168,IPC,506,1,2
169,IPC,324,1,1
170,IPC,454,1,1
171,IPC,380,1,1
171,IPC,411,1,2
172,IPC,379,1,1
173,IPC,454,1,1
173,IPC,411,1,2
174,IPC,420,1,1
174,IPC,471,1,2
174,IPC,120B,1,3
175,IPC,323,1,1
175,IPC,34,1,2
176,IPC,380,1,1
177,IPC,454,1,1
178,IPC,379,1,1
179,IPC,379,1,1
180,IPC,323,1,1
181,IPC,467,1,1
181,IPC,468,1,2
181,IPC,120B,1,3
182,IPC,454,1,1
183,IPC,380,1,1
184,IPC,354,1,1
185,IPC,457,1,1
185,IPC,411,1,2
186,IPC,454,1,1
187,IPC,379,1,1
187,IPC,34,1,2
188,IPC,420,1,1
188,IPC,471,1,2
188,IPC,120B,1,3
189,IPC,324,1,1
190,IPC,380,1,1
190,IPC,34,1,2
191,IPC,323,1,1
192,IPC,420,1,1
192,IPC,468,1,2
192,IPC,120B,1,3
193,IPC,454,1,1
193,IPC,411,1,2
194,IPC,457,1,1
195,IPC,380,1,1
196,IPC,420,1,1
196,IPC,468,1,2
197,IPC,454,1,1
198,IPC,324,1,1
199,IPC,323,1,1
199,IPC,34,1,2
200,IPC,380,1,1
201,IPC,379,1,1
202,IPC,379,1,1
203,IPC,323,1,1
204,IPC,380,1,1
205,IPC,384,1,1
205,IPC,471,1,2
206,IPC,323,1,1
207,IPC,323,1,1
208,IPC,323,1,1
208,IPC,34,1,2
209,IPC,379,1,1
210,IPC,379,1,1
211,IPC,379,1,1
212,IPC,454,1,1
212,IPC,411,1,2
213,IPC,354,1,1
213,IPC,506,1,2
214,IPC,406,1,1
215,IPC,467,1,1
215,IPC,471,1,2
216,IPC,324,1,1
216,IPC,506,1,2
217,IPC,324,1,1
217,IPC,506,1,2
218,IPC,379,1,1
219,IPC,379,1,1
219,IPC,34,1,2
220,IPC,323,1,1
221,IPC,354,1,1
222,IPC,323,1,1
222,IPC,506,1,2
223,IPC,454,1,1
224,IPC,454,1,1
225,IPC,379,1,1
226,IPC,420,1,1
226,IPC,120B,1,2
226,ITACT,66C,1,3
227,IPC,323,1,1
228,IPC,420,1,1
229,IPC,379,1,1
229,IPC,34,1,2
230,IPC,457,1,1
230,IPC,411,1,2
231,IPC,379,1,1
232,IPC,379,1,1
232,IPC,34,1,2
233,IPC,379,1,1
233,IPC,34,1,2
234,IPC,323,1,1
235,IPC,379,1,1
236,IPC,379,1,1
237,IPC,354,1,1
238,IPC,406,1,1
238,IPC,468,1,2
239,IPC,457,1,1
240,IPC,380,1,1
241,IPC,380,1,1
241,IPC,34,1,2
242,IPC,420,1,1
242,IPC,120B,1,2
242,ITACT,66C,1,3
243,IPC,354,1,1
244,IPC,324,1,1
244,IPC,506,1,2
245,IPC,420,1,1
245,IPC,120B,1,2
246,IPC,454,1,1
247,IPC,323,1,1
248,IPC,323,1,1
249,IPC,454,1,1
250,IPC,379,1,1
251,IPC,457,1,1
251,IPC,411,1,2
252,IPC,379,1,1
253,IPC,379,1,1
254,IPC,420,1,1
255,IPC,379,1,1
256,IPC,457,1,1
257,IPC,454,1,1
258,ITACT,66D,1,1
258,IPC,468,1,2
258,IPC,471,1,3
259,IPC,467,1,1
260,IPC,420,1,1
260,IPC,468,1,2
260,IPC,471,1,3
261,IPC,457,1,1
261,IPC,411,1,2
262,IPC,457,1,1
263,IPC,454,1,1
264,IPC,454,1,1
265,IPC,324,1,1
265,IPC,34,1,2
266,IPC,379,1,1
266,IPC,411,1,2
267,IPC,454,1,1
268,IPC,324,1,1
269,IPC,379,1,1
270,IPC,323,1,1
271,IPC,384,1,1
272,IPC,379,1,1
272,IPC,34,1,2
273,IPC,379,1,1
273,IPC,411,1,2
274,IPC,384,1,1
274,IPC,468,1,2
274,IPC,120B,1,3
275,IPC,379,1,1
275,IPC,34,1,2
276,IPC,406,1,1
276,IPC,468,1,2
277,IPC,379,1,1
278,IPC,420,1,1
278,IPC,120B,1,2
279,IPC,379,1,1
280,IPC,380,1,1
281,IPC,379,1,1
281,IPC,34,1,2
281,IPC,411,1,3
282,IPC,323,1,1
283,ITACT,66D,1,1
283,IPC,471,1,2
284,IPC,406,1,1
285,IPC,354,1,1
286,IPC,454,1,1
287,IPC,379,1,1
288,IPC,323,1,1
289,IPC,379,1,1
290,IPC,454,1,1
290,IPC,411,1,2
291,IPC,379,1,1
292,IPC,324,1,1
293,IPC,379,1,1
294,IPC,379,1,1
295,IPC,379,1,1
296,IPC,454,1,1
297,IPC,454,1,1
298,IPC,380,1,1
298,IPC,34,1,2
298,IPC,411,1,3
299,IPC,406,1,1
300,IPC,457,1,1
301,IPC,420,1,1
302,IPC,420,1,1
303,IPC,406,1,1
303,ITACT,66C,1,2
304,IPC,324,1,1
304,IPC,506,1,2
305,IPC,379,1,1
306,IPC,323,1,1
306,IPC,34,1,2
307,IPC,454,1,1
307,IPC,411,1,2
308,IPC,379,1,1
309,IPC,420,1,1
309,IPC,468,1,2
310,IPC,384,1,1
310,IPC,468,1,2
311,IPC,379,1,1
312,IPC,323,1,1
313,IPC,379,1,1
314,IPC,454,1,1
315,IPC,454,1,1
316,IPC,380,1,1
316,IPC,34,1,2
317,IPC,457,1,1
318,IPC,323,1,1
319,IPC,379,1,1
320,IPC,379,1,1
321,IPC,420,1,1
321,ITACT,66C,1,2
322,IPC,420,1,1
322,IPC,120B,1,2
322,ITACT,66C,1,3
323,IPC,420,1,1
324,IPC,323,1,1
324,IPC,34,1,2
325,IPC,454,1,1
326,IPC,323,1,1
327,IPC,420,1,1
327,ITACT,66C,1,2
328,IPC,420,1,1
329,IPC,379,1,1
329,IPC,411,1,2
330,IPC,454,1,1
331,IPC,379,1,1
332,IPC,379,1,1
333,IPC,379,1,1
334,IPC,379,1,1
334,IPC,411,1,2
335,IPC,420,1,1
336,IPC,380,1,1
337,IPC,457,1,1
338,IPC,454,1,1
339,IPC,384,1,1
340,IPC,323,1,1
340,IPC,34,1,2
341,IPC,379,1,1
342,IPC,379,1,1
343,IPC,380,1,1
344,IPC,323,1,1
345,IPC,380,1,1
346,IPC,384,1,1
346,IPC,468,1,2
347,IPC,454,1,1
348,IPC,324,1,1
349,IPC,324,1,1
349,IPC,34,1,2
350,IPC,379,1,1
351,IPC,384,1,1
351,IPC,468,1,2
352,IPC,384,1,1
353,IPC,420,1,1
353,IPC,471,1,2
354,IPC,420,1,1
354,IPC,468,1,2
354,IPC,471,1,3
354,IPC,120B,1,4
355,IPC,457,1,1
356,IPC,379,1,1
357,IPC,420,1,1
358,IPC,467,1,1
359,IPC,379,1,1
360,IPC,379,1,1
361,IPC,379,1,1
362,IPC,454,1,1
362,IPC,411,1,2
363,IPC,457,1,1
364,IPC,420,1,1
364,IPC,468,1,2
364,IPC,120B,1,3
365,IPC,379,1,1
366,IPC,379,1,1
367,IPC,454,1,1
368,IPC,379,1,1
368,IPC,34,1,2
369,IPC,354,1,1
370,IPC,454,1,1
371,IPC,420,1,1
371,IPC,468,1,2
372,IPC,324,1,1
372,IPC,34,1,2
373,IPC,454,1,1
373,IPC,411,1,2
374,IPC,354,1,1
375,ITACT,66D,1,1
376,IPC,379,1,1
377,IPC,323,1,1
378,IPC,379,1,1
379,IPC,379,1,1
380,IPC,379,1,1
381,IPC,379,1,1
382,IPC,379,1,1
383,IPC,379,1,1
383,IPC,34,1,2
383,IPC,411,1,3
384,IPC,323,1,1
385,IPC,380,1,1
386,IPC,323,1,1
386,IPC,34,1,2
387,IPC,454,1,1
388,IPC,380,1,1
388,IPC,34,1,2
389,IPC,323,1,1
390,IPC,379,1,1
